Point,Corner,mc_iteration,temperature,Pass/Fail,Vthn,Id
3,50,3,50,,417.9e-3,
4,50,4,50,,415e-3,
5,50,5,50,,429e-3,
6,50,6,50,,442.6e-3,
7,50,7,50,,425.3e-3,
8,50,8,50,,422e-3,
9,50,9,50,,441.4e-3,
10,50,10,50,,430.9e-3,
11,50,11,50,,404.4e-3,
12,50,12,50,,427.5e-3,
13,50,13,50,,444.1e-3,
14,50,14,50,,440.7e-3,
15,50,15,50,,418.4e-3,
16,50,16,50,,423.9e-3,
17,50,17,50,,443.3e-3,
18,50,18,50,,430.6e-3,
19,50,19,50,,412.2e-3,
20,50,20,50,,423.7e-3,
21,50,21,50,,448.8e-3,
22,50,22,50,,438.1e-3,
23,50,23,50,,417.2e-3,
24,50,24,50,,467.5e-3,
25,50,25,50,,429e-3,
26,50,26,50,,435.2e-3,
27,50,27,50,,423.6e-3,
28,50,28,50,,413.1e-3,
29,50,29,50,,434.6e-3,
30,50,30,50,,444.9e-3,
31,50,31,50,,429.9e-3,
32,50,32,50,,437.4e-3,
33,50,33,50,,419.1e-3,
34,50,34,50,,428e-3,
35,50,35,50,,450e-3,
36,50,36,50,,431.6e-3,
37,50,37,50,,409.5e-3,
38,50,38,50,,423.4e-3,
39,50,39,50,,442e-3,
40,50,40,50,,444.7e-3,
41,50,41,50,,427.3e-3,
42,50,42,50,,417.9e-3,
43,50,43,50,,432.8e-3,
44,50,44,50,,440.5e-3,
45,50,45,50,,420.1e-3,
46,50,46,50,,408e-3,
47,50,47,50,,430.2e-3,
48,50,48,50,,443.5e-3,
49,50,49,50,,428.5e-3,
50,50,50,50,,411.9e-3,
1,75,1,75,,404.8e-3,
2,75,2,75,,414.4e-3,
3,75,3,75,,394.1e-3,
4,75,4,75,,392e-3,
5,75,5,75,,405.2e-3,
6,75,6,75,,419.3e-3,
7,75,7,75,,401.9e-3,
8,75,8,75,,398.5e-3,
9,75,9,75,,418.3e-3,
10,75,10,75,,407.5e-3,
11,75,11,75,,380.8e-3,
12,75,12,75,,404.2e-3,
13,75,13,75,,420.3e-3,
14,75,14,75,,417.5e-3,
15,75,15,75,,395.2e-3,
16,75,16,75,,400.5e-3,
17,75,17,75,,420e-3,
18,75,18,75,,407.3e-3,
19,75,19,75,,388.7e-3,
20,75,20,75,,400.1e-3,
21,75,21,75,,425.2e-3,
22,75,22,75,,414.5e-3,
23,75,23,75,,393.7e-3,
24,75,24,75,,444.2e-3,
25,75,25,75,,405.6e-3,
26,75,26,75,,411.7e-3,
27,75,27,75,,400.5e-3,
28,75,28,75,,389.5e-3,
29,75,29,75,,411.4e-3,
30,75,30,75,,421.5e-3,
31,75,31,75,,406.7e-3,
32,75,32,75,,414.1e-3,
33,75,33,75,,395.7e-3,
34,75,34,75,,404.5e-3,
35,75,35,75,,426.7e-3,
36,75,36,75,,408.1e-3,
37,75,37,75,,386e-3,
38,75,38,75,,399.9e-3,
39,75,39,75,,418.5e-3,
40,75,40,75,,421.3e-3,
41,75,41,75,,404e-3,
42,75,42,75,,394.8e-3,
43,75,43,75,,409.3e-3,
44,75,44,75,,417.4e-3,
45,75,45,75,,396.4e-3,
46,75,46,75,,384.8e-3,
47,75,47,75,,406.9e-3,
48,75,48,75,,420e-3,
49,75,49,75,,405.4e-3,
50,75,50,75,,388.2e-3,
1,85,1,85,,395.4e-3,
2,85,2,85,,405.1e-3,
3,85,3,85,,384.6e-3,
4,85,4,85,,382.8e-3,
5,85,5,85,,395.7e-3,
6,85,6,85,,409.9e-3,
7,85,7,85,,392.5e-3,
8,85,8,85,,389.1e-3,
9,85,9,85,,409.1e-3,
10,85,10,85,,398.1e-3,
11,85,11,85,,371.4e-3,
12,85,12,85,,394.8e-3,
13,85,13,85,,410.8e-3,
14,85,14,85,,408.2e-3,
15,85,15,85,,386e-3,
16,85,16,85,,391.1e-3,
17,85,17,85,,410.7e-3,
18,85,18,85,,398e-3,
19,85,19,85,,379.3e-3,
20,85,20,85,,390.7e-3,
21,85,21,85,,415.8e-3,
22,85,22,85,,405.1e-3,
23,85,23,85,,384.3e-3,
24,85,24,85,,434.9e-3,
25,85,25,85,,396.2e-3,
26,85,26,85,,402.2e-3,
27,85,27,85,,391.3e-3,
28,85,28,85,,380e-3,
29,85,29,85,,402.2e-3,
30,85,30,85,,412.2e-3,
31,85,31,85,,397.4e-3,
32,85,32,85,,404.8e-3,
33,85,33,85,,386.3e-3,
34,85,34,85,,395.1e-3,
35,85,35,85,,417.3e-3,
36,85,36,85,,398.7e-3,
37,85,37,85,,376.5e-3,
38,85,38,85,,390.5e-3,
39,85,39,85,,409.1e-3,
40,85,40,85,,412e-3,
41,85,41,85,,394.7e-3,
42,85,42,85,,385.6e-3,
43,85,43,85,,399.8e-3,
44,85,44,85,,408.1e-3,
45,85,45,85,,386.9e-3,
46,85,46,85,,375.5e-3,
47,85,47,85,,397.5e-3,
48,85,48,85,,410.7e-3,
49,85,49,85,,396.2e-3,
50,85,50,85,,378.7e-3,
1,100,1,100,,381.3e-3,
2,100,2,100,,391.1e-3,
3,100,3,100,,370.4e-3,
4,100,4,100,,369e-3,
5,100,5,100,,381.4e-3,
6,100,6,100,,395.9e-3,
7,100,7,100,,378.5e-3,
8,100,8,100,,375e-3,
9,100,9,100,,395.3e-3,
10,100,10,100,,384e-3,
11,100,11,100,,357.2e-3,
12,100,12,100,,380.9e-3,
13,100,13,100,,396.5e-3,
14,100,14,100,,394.3e-3,
15,100,15,100,,372.1e-3,
16,100,16,100,,377.1e-3,
17,100,17,100,,396.7e-3,
18,100,18,100,,383.9e-3,
19,100,19,100,,365.3e-3,
20,100,20,100,,376.6e-3,
21,100,21,100,,401.7e-3,
22,100,22,100,,391e-3,
23,100,23,100,,370.2e-3,
24,100,24,100,,420.9e-3,
25,100,25,100,,382.2e-3,
26,100,26,100,,388.1e-3,
27,100,27,100,,377.5e-3,
28,100,28,100,,365.8e-3,
29,100,29,100,,388.3e-3,
30,100,30,100,,398.1e-3,
31,100,31,100,,383.5e-3,
32,100,32,100,,390.8e-3,
33,100,33,100,,372.3e-3,
34,100,34,100,,381.1e-3,
35,100,35,100,,403.3e-3,
36,100,36,100,,384.6e-3,
37,100,37,100,,362.4e-3,
38,100,38,100,,376.4e-3,
39,100,39,100,,395e-3,
40,100,40,100,,397.9e-3,
41,100,41,100,,380.7e-3,
42,100,42,100,,371.8e-3,
43,100,43,100,,385.7e-3,
44,100,44,100,,394.3e-3,
45,100,45,100,,372.7e-3,
46,100,46,100,,361.6e-3,
47,100,47,100,,383.5e-3,
48,100,48,100,,396.6e-3,
49,100,49,100,,382.4e-3,
50,100,50,100,,364.5e-3,
1,125,1,125,,357.8e-3,
2,125,2,125,,367.8e-3,
3,125,3,125,,346.6e-3,
4,125,4,125,,346e-3,
5,125,5,125,,357.6e-3,
6,125,6,125,,372.6e-3,
7,125,7,125,,355.1e-3,
8,125,8,125,,351.5e-3,
9,125,9,125,,372.3e-3,
10,125,10,125,,360.5e-3,
11,125,11,125,,333.6e-3,
12,125,12,125,,357.6e-3,
13,125,13,125,,372.7e-3,
14,125,14,125,,371.1e-3,
15,125,15,125,,348.9e-3,
16,125,16,125,,353.7e-3,
17,125,17,125,,373.4e-3,
18,125,18,125,,360.6e-3,
19,125,19,125,,341.8e-3,
20,125,20,125,,353e-3,
21,125,21,125,,378.2e-3,
22,125,22,125,,367.5e-3,
23,125,23,125,,346.7e-3,
24,125,24,125,,397.6e-3,
25,125,25,125,,358.8e-3,
26,125,26,125,,364.5e-3,
27,125,27,125,,354.4e-3,
28,125,28,125,,342.2e-3,
29,125,29,125,,365.2e-3,
30,125,30,125,,374.7e-3,
31,125,31,125,,360.3e-3,
32,125,32,125,,367.6e-3,
33,125,33,125,,348.9e-3,
34,125,34,125,,357.6e-3,
35,125,35,125,,380e-3,
36,125,36,125,,361.1e-3,
37,125,37,125,,338.8e-3,
38,125,38,125,,352.9e-3,
39,125,39,125,,371.5e-3,
40,125,40,125,,374.5e-3,
41,125,41,125,,357.4e-3,
42,125,42,125,,348.8e-3,
43,125,43,125,,362.1e-3,
44,125,44,125,,371.2e-3,
45,125,45,125,,349.1e-3,
46,125,46,125,,338.3e-3,
47,125,47,125,,360.1e-3,
48,125,48,125,,373.1e-3,
49,125,49,125,,359.4e-3,
50,125,50,125,,340.8e-3,
1,150,1,150,,334.3e-3,
2,150,2,150,,344.5e-3,
3,150,3,150,,322.8e-3,
4,150,4,150,,323.1e-3,
5,150,5,150,,333.7e-3,
6,150,6,150,,349.2e-3,
7,150,7,150,,331.7e-3,
8,150,8,150,,328e-3,
9,150,9,150,,349.2e-3,
10,150,10,150,,337e-3,
11,150,11,150,,310.1e-3,
12,150,12,150,,334.2e-3,
13,150,13,150,,348.9e-3,
14,150,14,150,,347.9e-3,
