Point,Corner,temperature,vgs,Pass/Fail,Vthn,gmn,Ron,Id,Ids
2,nom,-40,0,,480.7e-3,1.172e-12,30.97e12,29.06e-15,29.06e-15
8,nom,-40,18.18e-3,,480.7e-3,2.44e-12,14.88e12,60.5e-15,60.5e-15
14,nom,-40,36.36e-3,,480.7e-3,5.079e-12,7.146e12,126e-15,126e-15
20,nom,-40,54.55e-3,,480.7e-3,10.57e-12,3.433e12,262.2e-15,262.2e-15
26,nom,-40,72.73e-3,,480.7e-3,21.99e-12,1.649e12,545.6e-15,545.6e-15
32,nom,-40,90.91e-3,,480.7e-3,45.74e-12,792.8e9,1.135e-12,1.135e-12
38,nom,-40,109.1e-3,,480.7e-3,95.07e-12,381.2e9,2.361e-12,2.361e-12
44,nom,-40,127.3e-3,,480.7e-3,197.5e-12,183.4e9,4.908e-12,4.908e-12
50,nom,-40,145.5e-3,,480.7e-3,409.6e-12,88.28e9,10.2e-12,10.2e-12
56,nom,-40,163.6e-3,,480.7e-3,848e-12,42.55e9,21.15e-12,21.15e-12
62,nom,-40,181.8e-3,,480.7e-3,1.751e-9,20.55e9,43.8e-12,43.8e-12
68,nom,-40,200e-3,,480.7e-3,3.601e-9,9.948e9,90.47e-12,90.47e-12
74,nom,-40,218.2e-3,,480.7e-3,7.363e-9,4.834e9,186.2e-12,186.2e-12
80,nom,-40,236.4e-3,,480.7e-3,14.93e-9,2.362e9,381e-12,381e-12
86,nom,-40,254.5e-3,,480.7e-3,29.92e-9,1.164e9,773.4e-12,773.4e-12
92,nom,-40,272.7e-3,,480.7e-3,58.96e-9,579.5e6,1.553e-9,1.553e-9
98,nom,-40,290.9e-3,,480.7e-3,113.7e-9,293e6,3.072e-9,3.072e-9
104,nom,-40,309.1e-3,,480.7e-3,213.2e-9,151.1e6,5.956e-9,5.956e-9
110,nom,-40,327.3e-3,,480.7e-3,386.4e-9,79.88e6,11.27e-9,11.27e-9
116,nom,-40,345.5e-3,,480.7e-3,674.8e-9,43.47e6,20.7e-9,20.7e-9
122,nom,-40,363.6e-3,,480.7e-3,1.134e-6,24.43e6,36.84e-9,36.84e-9
128,nom,-40,381.8e-3,,480.7e-3,1.841e-6,14.19e6,63.44e-9,63.44e-9
134,nom,-40,400e-3,,480.7e-3,2.895e-6,8.5e6,105.9e-9,105.9e-9
140,nom,-40,418.2e-3,,480.7e-3,4.432e-6,5.244e6,171.6e-9,171.6e-9
146,nom,-40,436.4e-3,,480.7e-3,6.616e-6,3.322e6,271e-9,271e-9
152,nom,-40,454.5e-3,,480.7e-3,9.63e-6,2.157e6,417.2e-9,417.2e-9
