Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
4,C4_38,900e-3,496.6e-3,175,,31.44e-6,34.17e-6,3.353e-6,-3.47e-6,268.4e3,259.4e3
4,C4_39,900e-3,558.6e-3,175,,41.66e-6,21.73e-6,5.627e-6,-1.738e-6,159.9e3,517.9e3
4,C4_40,900e-3,620.7e-3,175,,50.82e-6,11.16e-6,8.502e-6,-734.3e-9,105.9e3,1.226e6
4,C4_41,900e-3,682.8e-3,175,,59.05e-6,4.598e-6,11.92e-6,-267.4e-9,75.53e3,3.366e6
4,C4_42,900e-3,744.8e-3,175,,66.54e-6,1.627e-6,15.82e-6,-88.32e-9,56.9e3,10.19e6
4,C4_43,900e-3,806.9e-3,175,,73.46e-6,529.2e-9,20.16e-6,-27.31e-9,44.64e3,32.95e6
4,C4_44,900e-3,869e-3,175,,79.85e-6,161.4e-9,24.92e-6,-7.991e-9,36.11e3,112.6e6
4,C4_45,900e-3,931e-3,175,,85.74e-6,46.5e-9,30.06e-6,-2.237e-9,29.94e3,402.4e6
4,C4_46,900e-3,993.1e-3,175,,91.13e-6,12.86e-9,35.55e-6,-607.9e-12,25.31e3,1.48e9
4,C4_47,900e-3,1.055,175,,96.02e-6,3.469e-9,41.36e-6,-162.4e-12,21.76e3,5.543e9
4,C4_48,900e-3,1.117,175,,100.4e-6,922.4e-12,47.46e-6,-42.96e-12,18.96e3,20.95e9
4,C4_49,900e-3,1.179,175,,104.2e-6,243.4e-12,53.81e-6,-11.31e-12,16.73e3,79.6e9
4,C4_50,900e-3,1.241,175,,107.5e-6,64e-12,60.38e-6,-2.968e-12,14.9e3,303.2e9
4,C4_51,900e-3,1.303,175,,110.2e-6,16.79e-12,67.14e-6,-778.1e-15,13.4e3,1.157e12
4,C4_52,900e-3,1.366,175,,112.3e-6,4.4e-12,74.05e-6,-203.9e-15,12.15e3,4.415e12
4,C4_53,900e-3,1.428,175,,113.6e-6,1.153e-12,81.06e-6,-53.39e-15,11.1e3,16.86e12
4,C4_54,900e-3,1.49,175,,114e-6,301.8e-15,88.12e-6,-13.98e-15,10.21e3,64.38e12
4,C4_55,900e-3,1.552,175,,113.5e-6,79.02e-15,95.18e-6,-3.66e-15,9.455e3,245.9e12
4,C4_56,900e-3,1.614,175,,112e-6,20.69e-15,102.2e-6,-958.1e-18,8.808e3,939.3e12
4,C4_57,900e-3,1.676,175,,109.6e-6,5.416e-15,109.1e-6,-250.8e-18,8.252e3,3.588e15
4,C4_58,900e-3,1.738,175,,106.7e-6,1.418e-15,115.8e-6,-65.67e-18,7.774e3,13.71e15
4,C4_59,900e-3,1.8,175,,103.3e-6,371.2e-18,122.3e-6,-17.19e-18,7.359e3,52.35e15
4,C4_60,1.8,0,175,,16.78e-9,231.6e-6,814.8e-12,-196.8e-6,2.209e9,9.148e3
4,C4_61,1.8,62.07e-3,175,,58.54e-9,223.6e-6,2.894e-9,-182.6e-6,621.9e6,9.855e3
4,C4_62,1.8,124.1e-3,175,,196.3e-9,215.5e-6,9.988e-9,-169e-6,180.2e6,10.65e3
4,C4_63,1.8,186.2e-3,175,,624.6e-9,207.4e-6,33.06e-9,-155.9e-6,54.44e6,11.55e3
4,C4_64,1.8,248.3e-3,175,,1.87e-6,199.2e-6,104e-9,-143.3e-6,17.32e6,12.56e3
4,C4_65,1.8,310.3e-3,175,,5.102e-6,191e-6,306e-9,-131.2e-6,5.883e6,13.72e3
4,C4_66,1.8,372.4e-3,175,,11.72e-6,182.8e-6,808.6e-9,-119.6e-6,2.226e6,15.05e3
4,C4_67,1.8,434.5e-3,175,,21.5e-6,174.5e-6,1.827e-6,-108.5e-6,985e3,16.59e3
4,C4_68,1.8,496.6e-3,175,,32.41e-6,166.3e-6,3.5e-6,-97.91e-6,514.3e3,18.38e3
4,C4_69,1.8,558.6e-3,175,,42.74e-6,158e-6,5.837e-6,-87.85e-6,308.4e3,20.49e3
