Point,Corner,temperature,vgs,Pass/Fail,Vthn,gmn,Ron,Id,Ids
2,nom,-40,0,,499.6e-3,2.502e-12,14.07e12,63.98e-15,63.98e-15
8,nom,-40,18.18e-3,,499.6e-3,5.095e-12,6.909e12,130.3e-15,130.3e-15
14,nom,-40,36.36e-3,,499.6e-3,10.37e-12,3.393e12,265.2e-15,265.2e-15
20,nom,-40,54.55e-3,,499.6e-3,21.11e-12,1.667e12,540e-15,540e-15
26,nom,-40,72.73e-3,,499.6e-3,42.97e-12,818.7e9,1.099e-12,1.099e-12
32,nom,-40,90.91e-3,,499.6e-3,87.45e-12,402.2e9,2.238e-12,2.238e-12
38,nom,-40,109.1e-3,,499.6e-3,177.9e-12,197.7e9,4.553e-12,4.553e-12
44,nom,-40,127.3e-3,,499.6e-3,361.7e-12,97.16e9,9.263e-12,9.263e-12
50,nom,-40,145.5e-3,,499.6e-3,734.9e-12,47.78e9,18.83e-12,18.83e-12
56,nom,-40,163.6e-3,,499.6e-3,1.491e-9,23.52e9,38.27e-12,38.27e-12
62,nom,-40,181.8e-3,,499.6e-3,3.022e-9,11.58e9,77.69e-12,77.69e-12
68,nom,-40,200e-3,,499.6e-3,6.111e-9,5.715e9,157.5e-12,157.5e-12
74,nom,-40,218.2e-3,,499.6e-3,12.31e-9,2.826e9,318.5e-12,318.5e-12
80,nom,-40,236.4e-3,,499.6e-3,24.7e-9,1.401e9,642.2e-12,642.2e-12
86,nom,-40,254.5e-3,,499.6e-3,49.19e-9,698.2e6,1.289e-9,1.289e-9
92,nom,-40,272.7e-3,,499.6e-3,97.01e-9,350.1e6,2.57e-9,2.57e-9
98,nom,-40,290.9e-3,,499.6e-3,188.7e-9,177.2e6,5.079e-9,5.079e-9
104,nom,-40,309.1e-3,,499.6e-3,360.3e-9,90.8e6,9.911e-9,9.911e-9
110,nom,-40,327.3e-3,,499.6e-3,671.3e-9,47.32e6,19.02e-9,19.02e-9
116,nom,-40,345.5e-3,,499.6e-3,1.214e-6,25.2e6,35.72e-9,35.72e-9
122,nom,-40,363.6e-3,,499.6e-3,2.118e-6,13.77e6,65.34e-9,65.34e-9
128,nom,-40,381.8e-3,,499.6e-3,3.557e-6,7.761e6,116e-9,116e-9
134,nom,-40,400e-3,,499.6e-3,5.747e-6,4.517e6,199.2e-9,199.2e-9
140,nom,-40,418.2e-3,,499.6e-3,8.943e-6,2.719e6,331e-9,331e-9
146,nom,-40,436.4e-3,,499.6e-3,13.44e-6,1.691e6,532.3e-9,532.3e-9
152,nom,-40,454.5e-3,,499.6e-3,19.55e-6,1.085e6,829.5e-9,829.5e-9
158,nom,-40,472.7e-3,,499.6e-3,27.59e-6,717.2e3,1.255e-6,1.255e-6
164,nom,-40,490.9e-3,,499.6e-3,37.76e-6,487.6e3,1.846e-6,1.846e-6
170,nom,-40,509.1e-3,,499.6e-3,50.16e-6,340.7e3,2.642e-6,2.642e-6
176,nom,-40,527.3e-3,,499.6e-3,64.63e-6,244.4e3,3.682e-6,3.682e-6
182,nom,-40,545.5e-3,,499.6e-3,80.85e-6,179.9e3,5.002e-6,5.002e-6
188,nom,-40,563.6e-3,,499.6e-3,98.3e-6,135.8e3,6.629e-6,6.629e-6
194,nom,-40,581.8e-3,,499.6e-3,116.4e-6,104.9e3,8.58e-6,8.58e-6
200,nom,-40,600e-3,,499.6e-3,134.7e-6,82.86e3,10.86e-6,10.86e-6
206,nom,-40,618.2e-3,,499.6e-3,152.7e-6,66.79e3,13.47e-6,13.47e-6
212,nom,-40,636.4e-3,,499.7e-3,170e-6,54.85e3,16.41e-6,16.41e-6
