Point,Corner,temperature,vgs,Pass/Fail,Vthn,gmn,Ron,Id,Ids
2,nom,-40,0,,514.3e-3,29.22e-12,1.114e12,807.9e-15,807.9e-15
8,nom,-40,18.18e-3,,514.3e-3,56.39e-12,577.2e9,1.559e-12,1.559e-12
14,nom,-40,36.36e-3,,514.3e-3,108.8e-12,299.1e9,3.009e-12,3.009e-12
20,nom,-40,54.55e-3,,514.3e-3,210e-12,155e9,5.807e-12,5.807e-12
26,nom,-40,72.73e-3,,514.3e-3,405.1e-12,80.31e9,11.21e-12,11.21e-12
32,nom,-40,90.91e-3,,514.3e-3,781.5e-12,41.63e9,21.62e-12,21.62e-12
38,nom,-40,109.1e-3,,514.3e-3,1.507e-9,21.58e9,41.71e-12,41.71e-12
44,nom,-40,127.3e-3,,514.3e-3,2.906e-9,11.19e9,80.45e-12,80.45e-12
50,nom,-40,145.5e-3,,514.3e-3,5.599e-9,5.802e9,155.1e-12,155.1e-12
56,nom,-40,163.6e-3,,514.3e-3,10.78e-9,3.011e9,298.9e-12,298.9e-12
62,nom,-40,181.8e-3,,514.3e-3,20.75e-9,1.563e9,575.8e-12,575.8e-12
68,nom,-40,200e-3,,514.3e-3,39.87e-9,812.2e6,1.108e-9,1.108e-9
74,nom,-40,218.2e-3,,514.3e-3,76.47e-9,422.5e6,2.13e-9,2.13e-9
80,nom,-40,236.4e-3,,514.3e-3,146.3e-9,220.2e6,4.087e-9,4.087e-9
86,nom,-40,254.5e-3,,514.3e-3,278.8e-9,115e6,7.825e-9,7.825e-9
92,nom,-40,272.7e-3,,514.3e-3,528.7e-9,60.29e6,14.93e-9,14.93e-9
98,nom,-40,290.9e-3,,514.3e-3,994.9e-9,31.75e6,28.35e-9,28.35e-9
104,nom,-40,309.1e-3,,514.3e-3,1.853e-6,16.84e6,53.46e-9,53.46e-9
110,nom,-40,327.3e-3,,514.3e-3,3.4e-6,9.013e6,99.86e-9,99.86e-9
116,nom,-40,345.5e-3,,514.3e-3,6.115e-6,4.888e6,184.1e-9,184.1e-9
122,nom,-40,363.6e-3,,514.3e-3,10.71e-6,2.698e6,333.5e-9,333.5e-9
128,nom,-40,381.8e-3,,514.3e-3,18.11e-6,1.524e6,590.4e-9,590.4e-9
134,nom,-40,400e-3,,514.3e-3,29.35e-6,886.4e3,1.015e-6,1.015e-6
140,nom,-40,418.2e-3,,514.3e-3,45.28e-6,533.7e3,1.686e-6,1.686e-6
146,nom,-40,436.4e-3,,514.3e-3,66.21e-6,334.3e3,2.692e-6,2.692e-6
152,nom,-40,454.5e-3,,514.3e-3,91.68e-6,218.4e3,4.121e-6,4.121e-6
158,nom,-40,472.7e-3,,514.3e-3,120.6e-6,148.9e3,6.046e-6,6.046e-6
164,nom,-40,490.9e-3,,514.3e-3,151.8e-6,105.6e3,8.52e-6,8.52e-6
170,nom,-40,509.1e-3,,514.3e-3,184.2e-6,77.77e3,11.57e-6,11.57e-6
176,nom,-40,527.3e-3,,514.3e-3,216.9e-6,59.15e3,15.22e-6,15.22e-6
182,nom,-40,545.5e-3,,514.3e-3,249.5e-6,46.26e3,19.45e-6,19.45e-6
188,nom,-40,563.6e-3,,514.3e-3,281.4e-6,37.07e3,24.28e-6,24.28e-6
194,nom,-40,581.8e-3,,514.3e-3,312.1e-6,30.33e3,29.67e-6,29.67e-6
200,nom,-40,600e-3,,514.3e-3,341.2e-6,25.28e3,35.61e-6,35.61e-6
206,nom,-40,618.2e-3,,514.3e-3,368.1e-6,21.4e3,42.05e-6,42.05e-6
212,nom,-40,636.4e-3,,514.3e-3,392.8e-6,18.38e3,48.97e-6,48.97e-6
218,nom,-40,654.5e-3,,514.3e-3,414.9e-6,15.98e3,56.31e-6,56.31e-6
224,nom,-40,672.7e-3,,514.3e-3,434.5e-6,14.06e3,64.02e-6,64.02e-6
230,nom,-40,690.9e-3,,514.3e-3,451.6e-6,12.49e3,72.07e-6,72.07e-6
236,nom,-40,709.1e-3,,514.3e-3,466.5e-6,11.19e3,80.41e-6,80.41e-6
242,nom,-40,727.3e-3,,514.4e-3,479.3e-6,10.11e3,89e-6,89e-6
248,nom,-40,745.5e-3,,514.4e-3,490.2e-6,9.202e3,97.81e-6,97.81e-6
254,nom,-40,763.6e-3,,514.4e-3,499.5e-6,8.427e3,106.8e-6,106.8e-6
260,nom,-40,781.8e-3,,514.4e-3,507.4e-6,7.762e3,115.9e-6,115.9e-6
266,nom,-40,800e-3,,514.4e-3,514.1e-6,7.187e3,125.2e-6,125.2e-6
272,nom,-40,818.2e-3,,514.4e-3,519.7e-6,6.686e3,134.6e-6,134.6e-6
278,nom,-40,836.4e-3,,514.4e-3,524.4e-6,6.246e3,144.1e-6,144.1e-6
284,nom,-40,854.5e-3,,514.4e-3,528.4e-6,5.857e3,153.7e-6,153.7e-6
290,nom,-40,872.7e-3,,514.4e-3,531.7e-6,5.512e3,163.3e-6,163.3e-6
296,nom,-40,890.9e-3,,514.4e-3,534.4e-6,5.203e3,173e-6,173e-6
302,nom,-40,909.1e-3,,514.4e-3,536.7e-6,4.926e3,182.7e-6,182.7e-6
308,nom,-40,927.3e-3,,514.4e-3,538.6e-6,4.676e3,192.5e-6,192.5e-6
314,nom,-40,945.5e-3,,514.4e-3,540.1e-6,4.45e3,202.3e-6,202.3e-6
320,nom,-40,963.6e-3,,514.4e-3,541.3e-6,4.243e3,212.1e-6,212.1e-6
326,nom,-40,981.8e-3,,514.4e-3,542.3e-6,4.055e3,221.9e-6,221.9e-6
332,nom,-40,1,,514.4e-3,543e-6,3.883e3,231.8e-6,231.8e-6
338,nom,-40,1.018,,514.4e-3,543.6e-6,3.724e3,241.7e-6,241.7e-6
344,nom,-40,1.036,,514.4e-3,543.9e-6,3.578e3,251.6e-6,251.6e-6
350,nom,-40,1.055,,514.4e-3,544.2e-6,3.442e3,261.4e-6,261.4e-6
356,nom,-40,1.073,,514.4e-3,544.3e-6,3.317e3,271.3e-6,271.3e-6
362,nom,-40,1.091,,514.4e-3,544.3e-6,3.2e3,281.2e-6,281.2e-6
368,nom,-40,1.109,,514.4e-3,544.2e-6,3.092e3,291.1e-6,291.1e-6
374,nom,-40,1.127,,514.4e-3,544e-6,2.99e3,301e-6,301e-6
380,nom,-40,1.145,,514.4e-3,543.7e-6,2.895e3,310.9e-6,310.9e-6
386,nom,-40,1.164,,514.4e-3,543.3e-6,2.806e3,320.8e-6,320.8e-6
392,nom,-40,1.182,,514.5e-3,542.9e-6,2.722e3,330.7e-6,330.7e-6
398,nom,-40,1.2,,514.5e-3,542.5e-6,2.643e3,340.5e-6,340.5e-6
404,nom,-40,1.218,,514.5e-3,541.9e-6,2.569e3,350.4e-6,350.4e-6
410,nom,-40,1.236,,514.5e-3,541.3e-6,2.498e3,360.2e-6,360.2e-6
416,nom,-40,1.255,,514.5e-3,540.7e-6,2.432e3,370.1e-6,370.1e-6
422,nom,-40,1.273,,514.5e-3,540.1e-6,2.369e3,379.9e-6,379.9e-6
428,nom,-40,1.291,,514.5e-3,539.3e-6,2.309e3,389.7e-6,389.7e-6
434,nom,-40,1.309,,514.5e-3,538.6e-6,2.253e3,399.5e-6,399.5e-6
440,nom,-40,1.327,,514.5e-3,537.8e-6,2.199e3,409.3e-6,409.3e-6
446,nom,-40,1.345,,514.5e-3,537e-6,2.147e3,419.1e-6,419.1e-6
452,nom,-40,1.364,,514.5e-3,536.2e-6,2.099e3,428.9e-6,428.9e-6
458,nom,-40,1.382,,514.5e-3,535.3e-6,2.052e3,438.6e-6,438.6e-6
464,nom,-40,1.4,,514.5e-3,534.4e-6,2.007e3,448.3e-6,448.3e-6
470,nom,-40,1.418,,514.5e-3,533.5e-6,1.965e3,458.1e-6,458.1e-6
476,nom,-40,1.436,,514.5e-3,532.5e-6,1.924e3,467.8e-6,467.8e-6
482,nom,-40,1.455,,514.5e-3,531.5e-6,1.885e3,477.4e-6,477.4e-6
488,nom,-40,1.473,,514.5e-3,530.5e-6,1.848e3,487.1e-6,487.1e-6
494,nom,-40,1.491,,514.5e-3,529.5e-6,1.812e3,496.7e-6,496.7e-6
500,nom,-40,1.509,,514.5e-3,528.4e-6,1.777e3,506.4e-6,506.4e-6
506,nom,-40,1.527,,514.5e-3,527.3e-6,1.744e3,516e-6,516e-6
512,nom,-40,1.545,,514.5e-3,526.2e-6,1.712e3,525.6e-6,525.6e-6
518,nom,-40,1.564,,514.5e-3,525e-6,1.682e3,535.1e-6,535.1e-6
524,nom,-40,1.582,,514.5e-3,523.9e-6,1.652e3,544.7e-6,544.7e-6
530,nom,-40,1.6,,514.5e-3,522.7e-6,1.624e3,554.2e-6,554.2e-6
536,nom,-40,1.618,,514.6e-3,521.5e-6,1.597e3,563.7e-6,563.7e-6
542,nom,-40,1.636,,514.6e-3,520.2e-6,1.57e3,573.2e-6,573.2e-6
548,nom,-40,1.655,,514.6e-3,518.9e-6,1.545e3,582.7e-6,582.7e-6
554,nom,-40,1.673,,514.6e-3,517.6e-6,1.52e3,592.1e-6,592.1e-6
560,nom,-40,1.691,,514.6e-3,516.3e-6,1.496e3,601.5e-6,601.5e-6
566,nom,-40,1.709,,514.6e-3,514.9e-6,1.473e3,610.9e-6,610.9e-6
572,nom,-40,1.727,,514.6e-3,513.5e-6,1.451e3,620.3e-6,620.3e-6
578,nom,-40,1.745,,514.6e-3,512.1e-6,1.429e3,629.6e-6,629.6e-6
584,nom,-40,1.764,,514.6e-3,510.7e-6,1.409e3,638.9e-6,638.9e-6
590,nom,-40,1.782,,514.6e-3,509.2e-6,1.388e3,648.2e-6,648.2e-6
596,nom,-40,1.8,,514.6e-3,507.7e-6,1.369e3,657.5e-6,657.5e-6
3,nom,13.75,0,,464e-3,1.376e-9,19.2e9,46.87e-12,46.87e-12
9,nom,13.75,18.18e-3,,464e-3,2.345e-9,11.26e9,79.92e-12,79.92e-12
15,nom,13.75,36.36e-3,,464e-3,3.996e-9,6.606e9,136.2e-12,136.2e-12
21,nom,13.75,54.55e-3,,464e-3,6.807e-9,3.876e9,232.2e-12,232.2e-12
27,nom,13.75,72.73e-3,,464e-3,11.59e-9,2.275e9,395.6e-12,395.6e-12
33,nom,13.75,90.91e-3,,464e-3,19.71e-9,1.336e9,673.6e-12,673.6e-12
39,nom,13.75,109.1e-3,,464e-3,33.5e-9,785e6,1.146e-9,1.146e-9
45,nom,13.75,127.3e-3,,464e-3,56.88e-9,461.7e6,1.95e-9,1.95e-9
51,nom,13.75,145.5e-3,,464e-3,96.41e-9,271.8e6,3.312e-9,3.312e-9
57,nom,13.75,163.6e-3,,464e-3,163.1e-9,160.2e6,5.618e-9,5.618e-9
63,nom,13.75,181.8e-3,,464e-3,275.2e-9,94.59e6,9.515e-9,9.515e-9
69,nom,13.75,200e-3,,464e-3,462.7e-9,55.98e6,16.08e-9,16.08e-9
75,nom,13.75,218.2e-3,,464e-3,774.4e-9,33.23e6,27.09e-9,27.09e-9
